#     BLOCK:   ACTUAL_KE:    KE_AVE:      ERROR:
               1           2.325           2.325               0
               2         2.32478         2.32489     7.66665e-05
               3         2.32413         2.32464     0.000212626
               4         2.32305         2.32424     0.000378914
               5         2.32154          2.3237     0.000570825
               6         2.31959         2.32302     0.000785262
               7         2.31722         2.32219      0.00102001
               8         2.31442         2.32122      0.00127338
               9         2.31119          2.3201      0.00154403
              10         2.30754         2.31885      0.00183077
              11         2.30346         2.31745      0.00213258
              12         2.29897         2.31591       0.0024485
              13         2.29406         2.31423      0.00277773
              14         2.28873         2.31241      0.00311971
              15         2.28299         2.31045      0.00347391
              16         2.27683         2.30835      0.00383982
              17         2.27026         2.30611      0.00421702
              18         2.26329         2.30373       0.0046051
              19          2.2559         2.30121      0.00500364
              20         2.24811         2.29855      0.00541229
              21         2.23991         2.29576      0.00583071
              22         2.23131         2.29283       0.0062586
              23         2.22231         2.28977      0.00669566
              24          2.2129         2.28656      0.00714162
              25          2.2031         2.28322      0.00759627
              26          2.1929         2.27975      0.00805942
              27          2.1823         2.27614      0.00853088
              28         2.17131          2.2724      0.00901042
              29         2.15992         2.26852       0.0094978
              30         2.14815         2.26451      0.00999281
              31         2.13599         2.26036       0.0104952
              32         2.12345         2.25608       0.0110049
              33         2.11052         2.25167       0.0115215
              34         2.09722         2.24713        0.012045
              35         2.08353         2.24245       0.0125751
              36         2.06948         2.23765       0.0131117
              37         2.05505         2.23271       0.0136545
              38         2.04026         2.22765       0.0142035
              39          2.0251         2.22246       0.0147582
              40          2.0096         2.21713       0.0153187
              41         1.99374         2.21169       0.0158846
              42         1.97753         2.20611       0.0164557
              43         1.96099         2.20041       0.0170318
              44         1.94411         2.19459       0.0176127
              45          1.9269         2.18864       0.0181981
              46         1.90937         2.18257       0.0187879
              47         1.89153         2.17637       0.0193818
              48         1.87338         2.17006       0.0199795
              49         1.85494         2.16363       0.0205808
              50          1.8362         2.15708       0.0211854
              51         1.81719         2.15042       0.0217931
              52          1.7979         2.14364       0.0224036
              53         1.77835         2.13675       0.0230166
              54         1.75855         2.12974        0.023632
              55         1.73851         2.12263       0.0242492
              56         1.71824         2.11541       0.0248682
              57         1.69775         2.10808       0.0254886
              58         1.67706         2.10065         0.02611
              59         1.65618         2.09311       0.0267321
              60         1.63511         2.08548       0.0273548
              61         1.61388         2.07775       0.0279775
              62          1.5925         2.06992       0.0286001
              63         1.57098           2.062       0.0292221
              64         1.54933         2.05399       0.0298433
              65         1.52758         2.04589       0.0304632
              66         1.50574         2.03771       0.0310816
              67         1.48382         2.02944        0.031698
              68         1.46185          2.0211       0.0323122
              69         1.43984         2.01267       0.0329237
              70          1.4178         2.00417       0.0335321
              71         1.39577         1.99561       0.0341372
              72         1.37374         1.98697       0.0347385
              73         1.35175         1.97827       0.0353357
              74         1.32981          1.9695       0.0359283
              75         1.30794         1.96068        0.036516
              76         1.28616         1.95181       0.0370984
              77          1.2645         1.94288       0.0376752
              78         1.24295         1.93391       0.0382459
              79         1.22156         1.92489       0.0388101
              80         1.20034         1.91583       0.0393676
              81          1.1793         1.90674       0.0399179
              82         1.15847         1.89762       0.0404607
              83         1.13786         1.88846       0.0409956
              84          1.1175         1.87928       0.0415222
              85         1.09741         1.87009       0.0420403
              86         1.07759         1.86087       0.0425494
              87         1.05808         1.85164       0.0430493
              88         1.03888         1.84241       0.0435396
              89         1.02002         1.83317         0.04402
              90         1.00151         1.82393       0.0444902
              91        0.983368         1.81469       0.0449499
              92        0.965608         1.80546       0.0453989
              93        0.948244         1.79624       0.0458369
              94        0.931292         1.78704       0.0462637
              95        0.914764         1.77786       0.0466789
              96        0.898672          1.7687       0.0470825
              97        0.883029         1.75957       0.0474742
              98        0.867845         1.75047       0.0478539
              99         0.85313         1.74141       0.0482213
             100        0.838894         1.73238       0.0485763
             101        0.825146          1.7234       0.0489188
             102        0.811892         1.71446       0.0492487
             103         0.79914         1.70558       0.0495658
             104        0.786893         1.69674       0.0498701
             105        0.775159         1.68797       0.0501616
             106        0.763941         1.67925       0.0504401
             107         0.75324         1.67059       0.0507057
             108        0.743059         1.66201       0.0509584
             109        0.733399         1.65349       0.0511981
             110        0.724261         1.64504       0.0514248
             111        0.715643         1.63667       0.0516387
             112        0.707544         1.62837       0.0518397
             113        0.699962         1.62015       0.0520279
             114        0.692894         1.61202       0.0522035
             115        0.686337         1.60397       0.0523664
             116        0.680286         1.59601       0.0525169
             117        0.674734         1.58813        0.052655
             118        0.669677         1.58035        0.052781
             119        0.665107         1.57266       0.0528948
             120        0.661018         1.56506       0.0529968
             121        0.657401         1.55756        0.053087
             122        0.654249         1.55016       0.0531657
             123        0.651553         1.54285       0.0532331
             124        0.649302         1.53565       0.0532893
             125        0.647486         1.52854       0.0533345
             126        0.646097         1.52154       0.0533691
             127        0.645122         1.51464       0.0533932
             128         0.64455         1.50784        0.053407
             129         0.64437         1.50114       0.0534108
             130         0.64457         1.49456       0.0534048
             131        0.645137         1.48807       0.0533893
             132         0.64606         1.48169       0.0533646
             133        0.647326         1.47542       0.0533308
             134        0.648923         1.46925       0.0532883
             135        0.650838         1.46319       0.0532373
             136        0.653058         1.45723        0.053178
             137        0.655569         1.45138       0.0531109
             138        0.658358         1.44563        0.053036
             139        0.661413         1.43999       0.0529536
             140        0.664721         1.43445       0.0528642
             141        0.668268         1.42902       0.0527678
             142        0.672041         1.42369       0.0526648
             143        0.676028         1.41846       0.0525554
             144        0.680215         1.41333       0.0524399
             145        0.684589         1.40831       0.0523185
             146        0.689138         1.40338       0.0521915
             147        0.693849         1.39856       0.0520592
             148        0.698709         1.39383       0.0519217
             149        0.703706          1.3892       0.0517795
             150        0.708828         1.38466       0.0516325
             151        0.714064         1.38022       0.0514812
             152        0.719401         1.37587       0.0513258
             153         0.72483         1.37162       0.0511664
             154        0.730338         1.36745       0.0510033
             155        0.735914         1.36338       0.0508368
             156        0.741548         1.35939       0.0506669
             157        0.747231         1.35549        0.050494
             158        0.752952         1.35168       0.0503182
             159          0.7587         1.34795       0.0501398
             160        0.764467          1.3443       0.0499588
             161        0.770243         1.34074       0.0497756
             162         0.77602         1.33725       0.0495903
             163         0.78179         1.33384        0.049403
             164        0.787546         1.33051       0.0492139
             165        0.793279         1.32726       0.0490232
             166        0.798983         1.32407       0.0488311
             167         0.80465         1.32096       0.0486377
             168        0.810273         1.31792        0.048443
             169        0.815846         1.31495       0.0482474
             170        0.821363         1.31205       0.0480509
             171        0.826817         1.30921       0.0478536
             172        0.832205         1.30644       0.0476557
             173        0.837521         1.30373       0.0474572
             174         0.84276         1.30108       0.0472584
             175        0.847919         1.29849       0.0470592
             176        0.852992         1.29596       0.0468599
             177        0.857977         1.29348       0.0466604
             178         0.86287         1.29106       0.0464609
             179        0.867668          1.2887       0.0462615
             180        0.872368         1.28639       0.0460623
             181        0.876969         1.28412       0.0458633
             182        0.881467         1.28191       0.0456647
             183        0.885862         1.27975       0.0454664
             184        0.890151         1.27763       0.0452686
             185        0.894334         1.27556       0.0450713
             186         0.89841         1.27353       0.0448745
             187        0.902378         1.27155       0.0446784
             188        0.906239          1.2696        0.044483
             189        0.909991          1.2677       0.0442883
             190        0.913634         1.26584       0.0440944
             191        0.917168         1.26401       0.0439013
             192        0.920594         1.26222       0.0437091
             193        0.923913         1.26047       0.0435178
             194        0.927125         1.25875       0.0433274
             195        0.930233         1.25707       0.0431379
             196        0.933236         1.25541       0.0429494
             197        0.936136         1.25379        0.042762
             198        0.938936          1.2522       0.0425756
             199        0.941636         1.25064       0.0423902
             200         0.94424         1.24911        0.042206
             201        0.946749         1.24761       0.0420228
             202        0.949166         1.24613       0.0418407
             203        0.951492         1.24468       0.0416598
             204        0.953729         1.24325       0.0414799
             205         0.95588         1.24185       0.0413013
             206        0.957947         1.24047       0.0411238
             207        0.959934         1.23912       0.0409474
             208        0.961843         1.23778       0.0407723
             209        0.963676         1.23647       0.0405983
             210        0.965438         1.23518       0.0404255
             211        0.967132         1.23391       0.0402538
             212        0.968759         1.23266       0.0400834
             213        0.970323         1.23143       0.0399141
             214        0.971827         1.23022        0.039746
             215        0.973274         1.22902       0.0395791
             216        0.974668         1.22784       0.0394134
             217        0.976011         1.22668       0.0392489
             218        0.977305         1.22554       0.0390855
             219        0.978555         1.22441       0.0389233
             220        0.979764          1.2233       0.0387622
             221        0.980935          1.2222       0.0386023
             222        0.982072         1.22112       0.0384436
             223        0.983175         1.22005        0.038286
             224        0.984248           1.219       0.0381296
             225        0.985295         1.21796       0.0379743
             226        0.986316         1.21694       0.0378201
             227        0.987316         1.21593        0.037667
             228        0.988296         1.21493        0.037515
             229         0.98926         1.21394       0.0373641
